Ensembl Gene ID	Ensembl Transcript ID	CDS Length
ENSG00000173281	ENST00000310455	858
ENSG00000173281	ENST00000519699	858
ENSG00000253426	ENST00000518496	303
ENSG00000253426	ENST00000517816	165
ENSG00000253426	ENST00000521718	165
ENSG00000173273	ENST00000520408	1854
ENSG00000173273	ENST00000310430	3984
ENSG00000173273	ENST00000522110	732
ENSG00000173273	ENST00000518281	3273
ENSG00000173273	ENST00000518635	207
ENSG00000173273	ENST00000517770	186
ENSG00000175806	ENST00000317173	708
ENSG00000175806	ENST00000441698	588
ENSG00000175806	ENST00000518255	642
ENSG00000175806	ENST00000521209	180
ENSG00000175806	ENST00000522907	247
ENSG00000175806	ENST00000528246	510
ENSG00000175806	ENST00000382490	579
ENSG00000175806	ENST00000521686	274
ENSG00000243696	ENST00000468472	291
ENSG00000243696	ENST00000513520	178
ENSG00000243696	ENST00000486659	264
ENSG00000243696	ENST00000446157	249
ENSG00000184647	ENST00000328655	1059
ENSG00000184647	ENST00000522210	831
ENSG00000184647	ENST00000518641	547
ENSG00000168792	ENST00000307201	1407
ENSG00000183638	ENST00000382483	7203
ENSG00000171060	ENST00000304519	885
ENSG00000171060	ENST00000523723	300
ENSG00000171060	ENST00000523289	300
ENSG00000171060	ENST00000521818	298
ENSG00000171056	ENST00000304501	1167
ENSG00000171056	ENST00000553390	1323
ENSG00000181035	ENST00000318596	957
ENSG00000258724	ENST00000554914	1323
ENSG00000064545	ENST00000450333	1131
ENSG00000064545	ENST00000162044	1440
ENSG00000064545	ENST00000587583	1363
ENSG00000064545	ENST00000587925	584
ENSG00000064545	ENST00000587096	946
ENSG00000064545	ENST00000585829	367
ENSG00000064545	ENST00000590216	123
ENSG00000064545	ENST00000587915	435
ENSG00000254093	ENST00000314787	987
ENSG00000254093	ENST00000519088	525
ENSG00000254093	ENST00000524114	595
ENSG00000254093	ENST00000523559	405
ENSG00000254093	ENST00000524061	59
ENSG00000254093	ENST00000520018	198
ENSG00000254093	ENST00000426190	519
ENSG00000114902	ENST00000423431	243
ENSG00000114902	ENST00000233025	510
ENSG00000114904	ENST00000233027	2526
ENSG00000114904	ENST00000383721	2346
ENSG00000114904	ENST00000461689	2166
ENSG00000114904	ENST00000487068	427
ENSG00000114904	ENST00000496822	114
ENSG00000114904	ENST00000535191	2259
ENSG00000167543	ENST00000583940	220
ENSG00000167543	ENST00000580183	556
ENSG00000167543	ENST00000578749	585
ENSG00000167543	ENST00000582829	526
ENSG00000167543	ENST00000577934	278
ENSG00000167543	ENST00000581411	470
ENSG00000167543	ENST00000301057	1182
ENSG00000167543	ENST00000378818	339
ENSG00000064489	ENST00000354191	360
ENSG00000064489	ENST00000514819	261
ENSG00000055957	ENST00000273283	2736
ENSG00000055957	ENST00000480409	642
ENSG00000055957	ENST00000428133	1395
ENSG00000055957	ENST00000484844	223
ENSG00000055957	ENST00000405128	834
ENSG00000055957	ENST00000542827	1938
ENSG00000055957	ENST00000540715	2310
ENSG00000055957	ENST00000537050	1872
ENSG00000171044	ENST00000382461	1256
ENSG00000171044	ENST00000416569	1926
ENSG00000171044	ENST00000529336	278
ENSG00000171044	ENST00000297303	864
ENSG00000171044	ENST00000304437	1089
ENSG00000213999	ENST00000409224	894
ENSG00000213999	ENST00000424583	1107
ENSG00000213999	ENST00000410050	1128
ENSG00000213999	ENST00000409447	861
ENSG00000213999	ENST00000444486	1098
ENSG00000213999	ENST00000162023	1107
ENSG00000215346	ENST00000400102	243
ENSG00000104643	ENST00000221086	1650
ENSG00000104643	ENST00000530200	306
ENSG00000104643	ENST00000526292	1395
ENSG00000254901	ENST00000488252	360
ENSG00000254901	ENST00000462790	360
ENSG00000254901	ENST00000588208	209
ENSG00000254901	ENST00000477565	330
ENSG00000248592	ENST00000514466	446
ENSG00000248592	ENST00000504329	1119
ENSG00000177710	ENST00000382435	1017
ENSG00000184608	ENST00000533578	315
ENSG00000184608	ENST00000284481	315
ENSG00000064490	ENST00000421262	190
ENSG00000064490	ENST00000456252	717
ENSG00000064490	ENST00000303088	783
ENSG00000064490	ENST00000593273	435
ENSG00000064490	ENST00000407360	780
ENSG00000064490	ENST00000543652	632
ENSG00000064490	ENST00000540981	564
ENSG00000064490	ENST00000392324	714
ENSG00000064490	ENST00000535017	546
ENSG00000064490	ENST00000544923	144
ENSG00000064490	ENST00000536253	227
ENSG00000064490	ENST00000353145	714
ENSG00000154319	ENST00000284486	645
ENSG00000154319	ENST00000534308	645
ENSG00000154319	ENST00000528897	645
ENSG00000154319	ENST00000531804	274
ENSG00000221995	ENST00000359450	348
ENSG00000221995	ENST00000408971	348
ENSG00000136573	ENST00000259089	1518
ENSG00000136573	ENST00000529894	1305
ENSG00000136573	ENST00000526097	1026
ENSG00000108262	ENST00000225394	2286
ENSG00000108262	ENST00000394869	2313
ENSG00000108262	ENST00000581348	2244
ENSG00000108262	ENST00000579937	2085
ENSG00000108262	ENST00000578670	449
ENSG00000108262	ENST00000578266	534
ENSG00000108262	ENST00000585148	686
ENSG00000108262	ENST00000583413	521
ENSG00000108262	ENST00000335356	442
ENSG00000108262	ENST00000577466	157
ENSG00000136574	ENST00000528712	711
ENSG00000136574	ENST00000526716	527
ENSG00000136574	ENST00000335135	1329
ENSG00000136574	ENST00000528027	350
ENSG00000136574	ENST00000532059	1332
ENSG00000255394	ENST00000525043	693
ENSG00000154328	ENST00000530433	493
ENSG00000154328	ENST00000455213	999
ENSG00000154328	ENST00000403422	816
ENSG00000154328	ENST00000528113	183
ENSG00000154328	ENST00000528323	651
ENSG00000154328	ENST00000436750	999
ENSG00000154328	ENST00000284503	999
ENSG00000079459	ENST00000530337	450
ENSG00000079459	ENST00000220584	1254
ENSG00000079459	ENST00000443614	1125
ENSG00000079459	ENST00000525283	204
ENSG00000079459	ENST00000525607	138
ENSG00000079459	ENST00000529464	156
ENSG00000079459	ENST00000525900	1233
ENSG00000079459	ENST00000528812	1062
ENSG00000079459	ENST00000530664	1062
ENSG00000079459	ENST00000532266	342
ENSG00000079459	ENST00000528643	999
ENSG00000079459	ENST00000525777	999
ENSG00000079459	ENST00000538689	921
ENSG00000064607	ENST00000593795	161
ENSG00000064607	ENST00000594773	3123
ENSG00000064607	ENST00000330854	3093
ENSG00000064607	ENST00000337018	3249
ENSG00000064607	ENST00000452918	3249
ENSG00000064607	ENST00000600239	2526
ENSG00000064607	ENST00000601879	3249
ENSG00000064607	ENST00000600377	3291
ENSG00000064607	ENST00000597280	197
ENSG00000064607	ENST00000598240	511
ENSG00000064607	ENST00000594445	334
ENSG00000064607	ENST00000456085	2586
ENSG00000108255	ENST00000225387	648
ENSG00000108255	ENST00000484605	227
ENSG00000162267	ENST00000416872	2097
ENSG00000162267	ENST00000449956	2673
ENSG00000108256	ENST00000225388	2088
ENSG00000108256	ENST00000579665	363
ENSG00000074582	ENST00000428880	230
ENSG00000074582	ENST00000430322	618
ENSG00000074582	ENST00000456050	618
ENSG00000074582	ENST00000443791	452
ENSG00000074582	ENST00000359273	1260
ENSG00000074582	ENST00000392109	1260
ENSG00000074582	ENST00000392110	1260
ENSG00000074582	ENST00000423377	331
ENSG00000074582	ENST00000392111	1260
ENSG00000074582	ENST00000412366	1260
ENSG00000074582	ENST00000439945	1260
ENSG00000074582	ENST00000431802	1260
ENSG00000074582	ENST00000426649	604
ENSG00000074582	ENST00000436603	365
ENSG00000114302	ENST00000457914	277
ENSG00000114302	ENST00000265563	1215
ENSG00000114302	ENST00000454963	1215
ENSG00000114302	ENST00000296446	1149
ENSG00000114302	ENST00000437821	602
ENSG00000114302	ENST00000438535	298
ENSG00000114302	ENST00000419216	344
ENSG00000163481	ENST00000295704	1380
ENSG00000163481	ENST00000423170	477
ENSG00000178537	ENST00000430379	687
ENSG00000178537	ENST00000319017	906
ENSG00000178537	ENST00000440964	231
ENSG00000178537	ENST00000544097	756
ENSG00000163482	ENST00000295709	3948
ENSG00000163482	ENST00000392105	3885
ENSG00000163482	ENST00000455724	227
ENSG00000163482	ENST00000440309	3948
ENSG00000163482	ENST00000424080	836
ENSG00000163482	ENST00000414413	320
ENSG00000163482	ENST00000422778	199
ENSG00000163482	ENST00000431040	1526
ENSG00000163482	ENST00000419433	445
ENSG00000163482	ENST00000392106	3885
ENSG00000221883	ENST00000408959	873
ENSG00000177479	ENST00000452882	323
ENSG00000177479	ENST00000430423	414
ENSG00000177479	ENST00000356401	1482
ENSG00000177479	ENST00000449376	1482
ENSG00000177479	ENST00000420814	323
ENSG00000177479	ENST00000449729	255
ENSG00000177479	ENST00000433170	167
ENSG00000177479	ENST00000452385	321
ENSG00000135912	ENST00000457313	2922
ENSG00000135912	ENST00000415717	303
ENSG00000135912	ENST00000392102	3600
ENSG00000135912	ENST00000437755	523
ENSG00000135912	ENST00000442769	3408
ENSG00000135912	ENST00000424644	302
ENSG00000135912	ENST00000417196	539
ENSG00000135912	ENST00000434241	302
ENSG00000135912	ENST00000448224	583
ENSG00000135912	ENST00000436668	738
ENSG00000135912	ENST00000417855	488
ENSG00000135912	ENST00000258398	3600
ENSG00000178467	ENST00000383729	1509
ENSG00000178467	ENST00000343546	1692
ENSG00000178467	ENST00000444213	678
ENSG00000135929	ENST00000258415	1596
ENSG00000135929	ENST00000445971	348
ENSG00000135929	ENST00000411688	664
ENSG00000178252	ENST00000395474	3456
ENSG00000178252	ENST00000488572	120
ENSG00000178252	ENST00000438660	813
ENSG00000178252	ENST00000415265	1710
ENSG00000178252	ENST00000452875	207
ENSG00000178252	ENST00000420783	186
ENSG00000178252	ENST00000448293	3213
ENSG00000178252	ENST00000419837	297
ENSG00000204290	ENST00000468270	1449
ENSG00000204290	ENST00000465865	207
ENSG00000204290	ENST00000414363	738
ENSG00000204290	ENST00000454136	216
ENSG00000204290	ENST00000446536	326
ENSG00000204290	ENST00000374995	1167
ENSG00000204290	ENST00000374993	1368
ENSG00000204290	ENST00000540315	738
ENSG00000204290	ENST00000544175	537
ENSG00000204290	ENST00000429232	816
ENSG00000115592	ENST00000233944	1470
ENSG00000115592	ENST00000529249	1470
ENSG00000115592	ENST00000470307	1062
ENSG00000115592	ENST00000430489	300
ENSG00000115592	ENST00000439262	1395
ENSG00000115592	ENST00000545803	918
ENSG00000115592	ENST00000392098	1062
ENSG00000179046	ENST00000512729	1164
ENSG00000179046	ENST00000326754	1239
ENSG00000179046	ENST00000503475	357
ENSG00000179046	ENST00000503141	357
ENSG00000179046	ENST00000536972	666
ENSG00000184108	ENST00000332517	1407
ENSG00000011638	ENST00000573487	492
ENSG00000011638	ENST00000233047	486
ENSG00000011638	ENST00000572258	273
ENSG00000011638	ENST00000261388	486
ENSG00000011638	ENST00000451578	558
ENSG00000011638	ENST00000572599	486
ENSG00000011638	ENST00000577162	139
ENSG00000011638	ENST00000573688	295
ENSG00000204287	ENST00000395388	765
ENSG00000204287	ENST00000374982	690
ENSG00000127824	ENST00000248437	1347
ENSG00000127824	ENST00000392088	1302
ENSG00000127824	ENST00000398989	468
ENSG00000127824	ENST00000427737	541
ENSG00000127824	ENST00000456818	595
ENSG00000127824	ENST00000447205	460
ENSG00000127824	ENST00000425551	359
ENSG00000109536	ENST00000226798	777
ENSG00000109536	ENST00000524583	308
ENSG00000109536	ENST00000533157	129
ENSG00000109536	ENST00000531991	348
ENSG00000109536	ENST00000507103	255
ENSG00000178149	ENST00000438585	556
ENSG00000178149	ENST00000441576	1551
ENSG00000178149	ENST00000341949	1632
ENSG00000178149	ENST00000440857	1161
ENSG00000178149	ENST00000313778	1131
ENSG00000178149	ENST00000420952	881
ENSG00000178149	ENST00000395462	1131
ENSG00000145020	ENST00000427987	1153
ENSG00000145020	ENST00000458307	1080
ENSG00000145020	ENST00000273588	1212
ENSG00000145020	ENST00000399379	120
ENSG00000145020	ENST00000430521	788
ENSG00000145020	ENST00000395338	1161
ENSG00000145020	ENST00000538581	1044
ENSG00000145020	ENST00000546031	921
ENSG00000226209	ENST00000429930	303
ENSG00000086475	ENST00000319684	966
ENSG00000086475	ENST00000327347	1179
ENSG00000086475	ENST00000413411	500
ENSG00000086475	ENST00000425947	275
ENSG00000086475	ENST00000378614	966
ENSG00000086475	ENST00000537130	978
ENSG00000086475	ENST00000545675	975
ENSG00000103310	ENST00000574091	2211
ENSG00000103310	ENST00000574002	2238
ENSG00000103310	ENST00000219593	2238
ENSG00000198502	ENST00000374975	801
ENSG00000063015	ENST00000360295	2982
ENSG00000063015	ENST00000540632	2760
ENSG00000063015	ENST00000317338	2985
ENSG00000063015	ENST00000540419	1364
ENSG00000063015	ENST00000538978	475
ENSG00000063015	ENST00000535262	304
ENSG00000063015	ENST00000442608	2943
ENSG00000063015	ENST00000539265	395
ENSG00000063015	ENST00000585644	170
ENSG00000063015	ENST00000335960	1527
ENSG00000205097	ENST00000504750	840
ENSG00000205097	ENST00000378763	837
ENSG00000258755	ENST00000554906	1275
ENSG00000258755	ENST00000553820	1275
ENSG00000258755	ENST00000554416	492
ENSG00000258755	ENST00000553598	1458
ENSG00000135924	ENST00000336576	975
ENSG00000135924	ENST00000425450	684
ENSG00000135924	ENST00000392086	834
ENSG00000135924	ENST00000421532	396
ENSG00000135924	ENST00000392087	733
ENSG00000135924	ENST00000442681	368
ENSG00000135924	ENST00000439026	445
ENSG00000258697	ENST00000553722	1275
ENSG00000258697	ENST00000555191	1458
ENSG00000259063	ENST00000557283	1275
ENSG00000259063	ENST00000554668	1458
ENSG00000196126	ENST00000360004	801
ENSG00000115596	ENST00000233948	1098
ENSG00000258834	ENST00000554637	1269
ENSG00000258834	ENST00000538692	1452
ENSG00000175311	ENST00000311620	1254
ENSG00000103316	ENST00000574448	498
ENSG00000103316	ENST00000570401	293
ENSG00000103316	ENST00000219599	945
ENSG00000103316	ENST00000576703	724
ENSG00000103316	ENST00000572914	422
ENSG00000103316	ENST00000571358	77
ENSG00000103316	ENST00000543948	945
ENSG00000103316	ENST00000396023	945
ENSG00000103316	ENST00000415987	819
ENSG00000135925	ENST00000258411	1254
ENSG00000135925	ENST00000458582	636
ENSG00000258389	ENST00000554285	1275
ENSG00000258389	ENST00000556625	1458
ENSG00000259034	ENST00000557656	1275
ENSG00000259034	ENST00000554690	1458
ENSG00000259128	ENST00000553702	1275
ENSG00000259128	ENST00000554376	492
ENSG00000259128	ENST00000440426	1458
ENSG00000171450	ENST00000302625	1104
ENSG00000163497	ENST00000295727	717
ENSG00000196735	ENST00000422863	73
ENSG00000196735	ENST00000343139	768
ENSG00000196735	ENST00000395364	768
ENSG00000196735	ENST00000395363	768
ENSG00000196735	ENST00000496318	643
ENSG00000196735	ENST00000374949	768
ENSG00000196735	ENST00000482745	162
ENSG00000196735	ENST00000486548	578
ENSG00000163499	ENST00000392096	594
ENSG00000163499	ENST00000295728	594
ENSG00000163499	ENST00000453769	386
ENSG00000165626	ENST00000341083	1407
ENSG00000165626	ENST00000440282	354
ENSG00000165626	ENST00000378605	1125
ENSG00000165626	ENST00000396900	1560
ENSG00000165626	ENST00000396898	1281
ENSG00000145029	ENST00000273598	642
ENSG00000145029	ENST00000423832	642
ENSG00000145029	ENST00000436744	528
ENSG00000181378	ENST00000341552	5778
ENSG00000181378	ENST00000413871	383
ENSG00000181378	ENST00000409865	2355
ENSG00000181378	ENST00000410037	2193
ENSG00000181378	ENST00000457968	703
ENSG00000181378	ENST00000436631	352
ENSG00000181378	ENST00000295729	495
ENSG00000181378	ENST00000458526	343
ENSG00000181378	ENST00000441968	5778
ENSG00000181378	ENST00000453220	5778
ENSG00000181378	ENST00000324264	495
ENSG00000169246	ENST00000504841	1074
ENSG00000169246	ENST00000419180	754
ENSG00000169246	ENST00000521589	291
ENSG00000169246	ENST00000534903	314
ENSG00000169246	ENST00000448012	2547
ENSG00000169246	ENST00000447737	3189
ENSG00000169246	ENST00000319334	1983
ENSG00000169246	ENST00000458643	2949
ENSG00000169246	ENST00000542817	1263
ENSG00000054356	ENST00000409251	2853
ENSG00000054356	ENST00000295718	2940
ENSG00000054356	ENST00000443981	413
ENSG00000054356	ENST00000423636	159
ENSG00000054356	ENST00000412847	376
ENSG00000054356	ENST00000446182	374
ENSG00000054356	ENST00000440552	498
ENSG00000054356	ENST00000442029	260
ENSG00000054356	ENST00000451506	201
ENSG00000054356	ENST00000539342	2853
ENSG00000054356	ENST00000537666	2670
ENSG00000178057	ENST00000326912	384
ENSG00000178057	ENST00000326925	555
ENSG00000178057	ENST00000395458	384
ENSG00000178057	ENST00000451378	384
ENSG00000179344	ENST00000399082	405
ENSG00000179344	ENST00000399079	675
ENSG00000179344	ENST00000374943	810
ENSG00000179344	ENST00000434651	786
ENSG00000179344	ENST00000399084	786
ENSG00000179344	ENST00000484729	411
ENSG00000179344	ENST00000447884	434
ENSG00000166851	ENST00000300093	1812
ENSG00000166851	ENST00000570220	522
ENSG00000166851	ENST00000567897	316
ENSG00000166851	ENST00000568568	175
ENSG00000173402	ENST00000421560	320
ENSG00000173402	ENST00000308775	2688
ENSG00000173402	ENST00000418588	265
ENSG00000173402	ENST00000431960	353
ENSG00000173402	ENST00000452317	123
ENSG00000173402	ENST00000435508	157
ENSG00000173402	ENST00000452060	260
ENSG00000173402	ENST00000428779	287
ENSG00000173402	ENST00000419218	46
ENSG00000173402	ENST00000430636	26
ENSG00000173402	ENST00000515359	2688
ENSG00000173402	ENST00000545947	2688
ENSG00000173402	ENST00000541308	2688
ENSG00000173402	ENST00000539901	2688
ENSG00000173402	ENST00000538711	2688
ENSG00000178035	ENST00000429182	1411
ENSG00000178035	ENST00000326739	1545
ENSG00000178035	ENST00000442157	837
ENSG00000165630	ENST00000378572	1029
ENSG00000165630	ENST00000417658	748
ENSG00000165630	ENST00000320054	503
ENSG00000148481	ENST00000378033	453
ENSG00000148481	ENST00000378036	453
ENSG00000148481	ENST00000277632	1338
ENSG00000148481	ENST00000418767	549
ENSG00000148481	ENST00000436829	494
ENSG00000197006	ENST00000567404	729
ENSG00000197006	ENST00000358154	957
ENSG00000197006	ENST00000396014	954
ENSG00000197006	ENST00000562379	225
ENSG00000197006	ENST00000570074	186
ENSG00000197006	ENST00000562961	418
ENSG00000197006	ENST00000568826	376
ENSG00000197006	ENST00000569290	385
ENSG00000163501	ENST00000295731	1236
ENSG00000187736	ENST00000409720	951
ENSG00000187736	ENST00000356853	900
ENSG00000187736	ENST00000418099	699
ENSG00000187736	ENST00000426304	675
ENSG00000187736	ENST00000457600	688
ENSG00000187736	ENST00000450447	153
ENSG00000164061	ENST00000296452	11781
ENSG00000134398	ENST00000457008	2625
ENSG00000134398	ENST00000256797	2925
ENSG00000134398	ENST00000562458	566
ENSG00000134398	ENST00000562562	390
ENSG00000134398	ENST00000569903	243
ENSG00000237541	ENST00000374940	768
ENSG00000164062	ENST00000296456	2199
ENSG00000164062	ENST00000449966	697
ENSG00000164062	ENST00000446089	177
ENSG00000164062	ENST00000442186	924
ENSG00000164062	ENST00000438011	2214
ENSG00000164062	ENST00000447436	153
ENSG00000164062	ENST00000457042	853
ENSG00000164062	ENST00000447541	165
ENSG00000164062	ENST00000469362	144
ENSG00000140749	ENST00000268389	726
ENSG00000140749	ENST00000569602	360
ENSG00000198218	ENST00000395443	2331
ENSG00000198218	ENST00000357496	2331
ENSG00000198218	ENST00000424300	2331
ENSG00000198218	ENST00000437939	311
ENSG00000198218	ENST00000450685	311
ENSG00000198218	ENST00000411682	311
ENSG00000198218	ENST00000430979	145
ENSG00000232629	ENST00000411527	684
ENSG00000232629	ENST00000435145	828
ENSG00000232629	ENST00000437316	795
ENSG00000232629	ENST00000427449	656
ENSG00000231500	ENST00000439602	459
ENSG00000231500	ENST00000474973	249
ENSG00000239665	ENST00000430832	144
ENSG00000239665	ENST00000601460	610
ENSG00000239665	ENST00000595538	104
ENSG00000239665	ENST00000596044	57
ENSG00000155719	ENST00000286149	3462
ENSG00000155719	ENST00000388958	3420
ENSG00000155719	ENST00000388956	3183
ENSG00000155719	ENST00000388957	2448
ENSG00000166869	ENST00000300113	591
ENSG00000058600	ENST00000299853	2127
ENSG00000058600	ENST00000564209	2064
ENSG00000058600	ENST00000565358	417
ENSG00000058600	ENST00000418581	2019
ENSG00000058600	ENST00000564883	330
ENSG00000058600	ENST00000359210	2001
ENSG00000058600	ENST00000561494	189
ENSG00000058600	ENST00000563024	297
ENSG00000058600	ENST00000564750	279
ENSG00000058600	ENST00000565551	191
ENSG00000058600	ENST00000569757	271
ENSG00000182698	ENST00000392083	276
ENSG00000182698	ENST00000333527	687
ENSG00000166501	ENST00000321728	2016
ENSG00000166501	ENST00000303531	2022
ENSG00000166501	ENST00000498058	174
ENSG00000166501	ENST00000498739	359
ENSG00000166501	ENST00000472066	391
ENSG00000166501	ENST00000466124	367
ENSG00000241106	ENST00000488325	117
ENSG00000241106	ENST00000438763	822
ENSG00000241106	ENST00000447394	543
ENSG00000123992	ENST00000273075	1458
ENSG00000123992	ENST00000373972	1233
ENSG00000123992	ENST00000523282	1482
ENSG00000123992	ENST00000373963	144
ENSG00000123992	ENST00000373966	111
ENSG00000123992	ENST00000457935	994
ENSG00000123992	ENST00000429013	820
ENSG00000123992	ENST00000521459	674
ENSG00000123992	ENST00000322176	812
ENSG00000123992	ENST00000434339	413
ENSG00000123992	ENST00000430206	351
ENSG00000123992	ENST00000520694	111
ENSG00000123992	ENST00000519698	138
ENSG00000123992	ENST00000519905	269
ENSG00000235863	ENST00000451237	1137
ENSG00000227057	ENST00000374617	1833
ENSG00000227057	ENST00000444176	968
ENSG00000250264	ENST00000452392	2531
ENSG00000151474	ENST00000357447	3120
ENSG00000151474	ENST00000264546	1575
ENSG00000151474	ENST00000342409	1353
ENSG00000151474	ENST00000378503	3120
ENSG00000151474	ENST00000358621	3075
ENSG00000163467	ENST00000368255	378
ENSG00000163467	ENST00000368254	378
ENSG00000163467	ENST00000368253	378
ENSG00000163467	ENST00000368252	378
ENSG00000163467	ENST00000368251	378
ENSG00000152457	ENST00000378289	1305
ENSG00000152457	ENST00000378246	1734
ENSG00000152457	ENST00000357717	1734
ENSG00000152457	ENST00000378249	1734
ENSG00000152457	ENST00000396817	1719
ENSG00000152457	ENST00000378255	1719
ENSG00000152457	ENST00000378254	1719
ENSG00000152457	ENST00000378278	2079
ENSG00000152457	ENST00000378258	1719
ENSG00000152457	ENST00000378242	1038
ENSG00000152457	ENST00000418843	352
ENSG00000152457	ENST00000378241	253
